A,B,C,D,E,F,G,H,I,J,K,L
2017-01-01,14.0,0.33,0.0,0.0,0.68,0,0,7.3,304,0.0,Community-B
2017-06-01,15.5,0.35,0.0,0.0,0.77,0,0,7.2,313,0.0,Community-B
2018-01-01,14.5,0.34,0.0,0.0,0.63,0,0,7.3,258,0.0,Community-B
2018-06-01,15.0,0.34,0.0,0.0,0.72,0,0,7.1,353,0.0,Community-B
2019-01-01,15.5,0.36,0.0,0.0,0.84,0,0,7.3,278,0.0,Community-B
2019-06-01,17.0,0.38,0.0,0.0,1.45,0,0,7.2,389,0.0,Community-B
2020-01-01,20.0,0.41,0.0,0.0,0.73,0,0,7.3,341,0.0,Community-B
2020-06-01,19.5,0.4,0.0,0.0,0.86,0,0,7.0,296,0.0,Community-B
2021-01-01,21.5,0.42,0.0,0.0,0.93,0,0,6.8,328,0.0,Community-B
2021-06-01,25.0,0.47,13.6,48.3,0.19,0,0,7.0,336,2.5,Community-B
2017-01-01,14.0,0.35,0.0,0.0,0.68,0,0,7.3,304,0.0,Community-D
2017-06-01,15.5,0.37,0.0,0.0,0.77,0,0,7.2,313,0.0,Community-D
2018-01-01,14.5,0.35,0.0,0.0,0.63,0,0,7.3,258,0.0,Community-D
2018-06-01,15.0,0.36,0.0,0.0,0.72,0,0,7.1,353,0.0,Community-D
2019-01-01,15.5,0.37,0.0,0.0,0.84,0,0,7.3,278,0.0,Community-D
2019-06-01,17.0,0.39,0.0,0.0,1.45,0,0,7.2,389,0.0,Community-D
2020-01-01,20.0,0.42,0.0,0.0,0.73,0,0,7.3,341,0.0,Community-D
2020-06-01,19.5,0.4,0.0,0.0,0.86,0,0,7.0,296,0.0,Community-D
2021-01-01,21.5,0.44,0.0,0.0,0.93,0,0,6.8,328,0.0,Community-D
2021-06-01,25.0,0.51,13.6,48.3,0.19,0,0,7.0,336,2.5,Community-D
